NG3 path: indexes/20NG3 numberOfCategories: 3   4 minutes, 5.365 seconds
CRISIS3 path: indexes/crisis3FireBombFlood numberOfCategories: 3   4 minutes, 18.825 seconds
CLASSIC4 path: indexes/classic4_500 numberOfCategories: 4   5 minutes, 15.006 seconds
R4 path: indexes/R4 numberOfCategories: 4   5 minutes, 6.365 seconds
R5 path: indexes/R5 numberOfCategories: 5   5 minutes, 11.040 seconds
NG5 path: indexes/20NG5WindowsmiscForsaleHockeySpaceChristian numberOfCategories: 5   5 minutes, 37.110 seconds
R6 path: indexes/R6 numberOfCategories: 6   5 minutes, 11.943 seconds
NG6 path: indexes/20NG6GraphicsHockeyCryptSpaceChristianGuns numberOfCategories: 6   4 minutes, 55.020 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   6.202 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   1 minutes, 15.619 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   1 minutes, 16.329 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   1 minutes, 0.950 seconds
NG5 path: indexes/20NG5WindowsmiscForsaleHockeySpaceChristian numberOfCategories: 5   50.623 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   2 minutes, 34.377 seconds
CLASSIC4 path: indexes/classic4_500 numberOfCategories: 4   3 minutes, 19.957 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   51.679 seconds
CLASSIC4 path: indexes/classic4_500 numberOfCategories: 4   45.809 seconds
NG3 path: indexes/20NG3 numberOfCategories: 3   26.555 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.085 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.213 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.024 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   17.383 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   9.876 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   14.108 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.229 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   24.537 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   27.723 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   26.273 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   17.410 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   16.413 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   26.489 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   20.287 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   26.490 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   27.043 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   27.745 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   16.989 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   27.863 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   26.711 seconds
